accel_x_mean,accel_x_median,accel_x_95,accel_x_max,accel_x_min,accel_x_range,accel_x_std_dev,accel_x_rms,accel_x_dom_freq,accel_x_dom_freq_2,accel_y_mean,accel_y_median,accel_y_95,accel_y_max,accel_y_min,accel_y_range,accel_y_std_dev,accel_y_rms,accel_y_dom_freq,accel_y_dom_freq_2,accel_z_mean,accel_z_median,accel_z_95,accel_z_max,accel_z_min,accel_z_range,accel_z_std_dev,accel_z_rms,accel_z_dom_freq,accel_z_dom_freq_2,gyro_x_mean,gyro_x_median,gyro_x_95,gyro_x_max,gyro_x_min,gyro_x_range,gyro_x_std_dev,gyro_x_rms,gyro_x_dom_freq,gyro_x_dom_freq_2,gyro_y_mean,gyro_y_median,gyro_y_95,gyro_y_max,gyro_y_min,gyro_y_range,gyro_y_std_dev,gyro_y_rms,gyro_y_dom_freq,gyro_y_dom_freq_2,gyro_z_mean,gyro_z_median,gyro_z_95,gyro_z_max,gyro_z_min,gyro_z_range,gyro_z_std_dev,gyro_z_rms,gyro_z_dom_freq,gyro_z_dom_freq_2,rot_x_mean,rot_x_median,rot_x_95,rot_x_max,rot_x_min,rot_x_range,rot_x_std_dev,rot_x_rms,rot_x_dom_freq,rot_x_dom_freq_2,rot_y_mean,rot_y_median,rot_y_95,rot_y_max,rot_y_min,rot_y_range,rot_y_std_dev,rot_y_rms,rot_y_dom_freq,rot_y_dom_freq_2,rot_z_mean,rot_z_median,rot_z_95,rot_z_max,rot_z_min,rot_z_range,rot_z_std_dev,rot_z_rms,rot_z_dom_freq,rot_z_dom_freq_2
-9.13086359,-9.151399612,-8.257320404,-7.645830154,-10.37129974,2.725469589,0.510085711,9.145100182,0,63,3.366746011,3.364190102,3.725719929,3.978310108,2.648869991,1.329440117,0.248884271,3.375932772,0,63,-1.077937336,-1.08178997,-0.914479017,-0.802384973,-1.355939984,0.553555012,0.104244669,1.082966228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.22507513,-9.151399612,-8.086999893,-7.722799778,-10.70559978,2.982800007,0.549492535,9.241425929,0,63,3.345340605,3.363950014,3.806829929,3.823210001,2.732630014,1.090579987,0.206286685,3.351694789,0,1,-1.096978238,-1.08178997,-0.909080029,-0.786557019,-1.401839972,0.615282953,0.113358507,1.102819752,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-8.422906725,-8.954219818,-6.417910099,-6.285439968,-9.330559731,3.045119762,1.033096175,8.48602648,0,2,2.579583853,3.359839916,5.899449825,6.204349995,-1.14598,7.350329995,1.814809648,3.154011242,0,1,-3.308011444,-2.888979912,-1.08178997,-1.08178997,-7.355380058,6.273590088,1.825578289,3.77831653,0,1,0.032338446,0,3.734159946,4.592440128,-2.76534009,7.357780218,1.206198296,1.206631718,60,4,-0.135257291,0,1.837849975,2.969039917,-5.070380211,8.039420128,1.411561053,1.418026495,58,6,-0.034917421,0,2.263319969,3.088680029,-3.623869896,6.712549925,1.021941509,1.02253786,60,4,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.344231739,-9.274490356,-8.671159744,-8.38586998,-12.11429977,3.728429794,0.562924,9.361172481,0,1,0.905904482,0.829348981,1.664579988,2.371769905,0.161588997,2.210180908,0.464902858,1.018232585,0,1,-2.892591796,-2.874540091,-2.648299932,-2.536230087,-3.859810114,1.323580027,0.20656732,2.899958164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.334395828,-9.330559731,-8.745030403,-8.176050186,-10.23330021,2.057250023,0.370770516,9.341756594,0,1,0.948528045,1.000290036,1.463510036,1.54843998,0.150684997,1.397754982,0.313393205,0.998959835,0,1,-2.893538589,-2.888979912,-2.669270039,-2.472150087,-3.218790054,0.746639967,0.137528848,2.896805094,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.32074316,-9.335809708,-8.717949867,-8.113900185,-10.24139977,2.12749958,0.381246666,9.328536974,0,1,0.904233637,0.911319017,1.528939962,1.931339979,-0.174060002,2.105399981,0.410248676,0.992946347,0,1,-2.885375385,-2.889689922,-2.60532999,-2.471440077,-3.243540049,0.772099972,0.149362939,2.889238724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568379939,0.568379939,0.568379939,0.568379939,0.568379939,0,0,0.568379939,0,63,0.481748194,0.481748194,0.481748194,0.481748194,0.481748194,0,0,0.481748194,0,1,-0.328759402,-0.328759402,-0.328759402,-0.328759402,-0.328759402,0,0,0.328759402,0,63
-9.421097861,-9.330559731,-8.719779968,-8.464389801,-10.30920029,1.844810486,0.372928528,9.428476049,0,1,0.94788093,0.911319017,1.131260037,1.49890995,0.650399029,0.848510921,0.130205893,0.956782019,0,1,-2.91955052,-2.888979912,-2.699860096,-2.620790005,-3.191930056,0.571140051,0.1181906,2.921941864,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611610651,0.611610651,0.611610651,0.611610651,0.611610651,0,0,0.611610651,0,1,0.522665441,0.522665441,0.522665441,0.522665441,0.522665441,0,0,0.522665441,0,63,-0.411872119,-0.411872119,-0.411872119,-0.411872119,-0.411872119,0,0,0.411872119,0,1
-9.3556703,-9.330559731,-8.694149971,-8.428580284,-10.10830021,1.679719925,0.345567354,9.362050179,0,1,0.923334388,0.911319017,1.166769981,1.342429996,0.568574011,0.773855984,0.163230235,0.937651588,0,1,-2.897628584,-2.888979912,-2.677129984,-2.609839916,-3.143729925,0.533890009,0.109879823,2.89971119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611610651,0.611610651,0.611610651,0.611610651,0.611610651,0,0,0.611610651,0,1,0.522665441,0.522665441,0.522665441,0.522665441,0.522665441,0,0,0.522665441,0,63,-0.411872119,-0.411872119,-0.411872119,-0.411872119,-0.411872119,0,0,0.411872119,0,1
-9.288482666,-9.330559731,-8.752849579,-8.469499588,-10.35109997,1.88160038,0.347448339,9.294978783,0,1,0.889249021,0.911319017,1.142009974,1.37349999,0.338016003,1.035483986,0.167156444,0.904823242,0,1,-2.874303188,-2.888979912,-2.69788003,-2.622380018,-3.188990116,0.566610098,0.110426681,2.876423625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611610651,0.611610651,0.611610651,0.611610651,0.611610651,0,0,0.611610651,0,1,0.522665441,0.522665441,0.522665441,0.522665441,0.522665441,0,0,0.522665441,0,63,-0.411872119,-0.411872119,-0.411872119,-0.411872119,-0.411872119,0,0,0.411872119,0,1
-9.360907784,-9.330559731,-8.691280365,-8.48418045,-10.43729973,1.953119278,0.369400307,9.368193589,0,1,0.944448082,0.911319017,1.159819961,1.774080038,0.514838994,1.259241045,0.181529053,0.961735399,0,63,-2.90113658,-2.888979912,-2.681509972,-2.647579908,-3.300790071,0.653210163,0.12084182,2.903652217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611610651,0.611610651,0.611610651,0.611610651,0.611610651,0,0,0.611610651,0,1,0.522665441,0.522665441,0.522665441,0.522665441,0.522665441,0,0,0.522665441,0,63,-0.411872119,-0.411872119,-0.411872119,-0.411872119,-0.411872119,0,0,0.411872119,0,1
